pair,raw,k2p,k3p,jc
1,0.013041431,0.008694003,0.008298493,0.013156149
2,0.003594074,0.001814125,0.001666381,0.003602713
3,0.00243847,0.001423876,0.001340184,0.002442443
5,0.001860037,0.001333373,0.001290861,0.001862347
6,0.010021152,0.006446564,0.006136628,0.010088703
7,0.012056751,0.007796673,0.007421471,0.012154712
8,0.010005938,0.006467329,0.006150564,0.010073283
9,0.002282317,0.00150324,0.00143855,0.002285796
10,0.002255243,0.001463146,0.001395393,0.002258641
11,0.006144038,0.003994307,0.00381517,0.006169343
12,0.00321916,0.002155992,0.0020649,0.003226088
13,0.002954801,0.001985723,0.001902543,0.002960637
14,0.008088671,0.005333436,0.005097039,0.008132605
15,0.004772463,0.003101761,0.002958861,0.004787712
17,0.004303751,0.002717375,0.002592474,0.004316147
18,0.001714337,0.000969392,0.000919201,0.001716299
19,0.004616867,0.002821202,0.002695732,0.004631136
20,0.001908653,0.001049802,0.000996719,0.001911086
21,0.004881431,0.00214171,0.001903773,0.004897386
22,0.000158942,7.23E-05,6.45E-05,0.000158959
23,0.000182689,8.49E-05,7.60E-05,0.000182711
24,0.003483146,0.002284816,0.002187479,0.003491259
25,0.002402724,0.001477353,0.001399878,0.002406581
26,0.006151094,0.004022738,0.003838931,0.006176456
27,0.005841569,0.003812054,0.00363439,0.005864437
28,0.005926158,0.003860952,0.003679804,0.005949695
29,0.007045729,0.004576619,0.004366422,0.007079032
30,0.006444643,0.004191761,0.003996786,0.006472491
31,0.005992404,0.003877461,0.003694602,0.006016472
32,0.006316052,0.004237993,0.004060958,0.006342797
33,0.007532515,0.005034745,0.004819837,0.007570596
34,0.007254174,0.004847482,0.004637105,0.007289484
35,0.010952223,0.007321605,0.0070221,0.011032978
36,0.002900233,0.001367368,0.001232304,0.002905855
38,0.009442157,0.005777753,0.005464076,0.009502096
39,0.005649271,0.003546073,0.003358971,0.005670655
40,0.007160801,0.004586505,0.004356381,0.007195205
41,0.005890482,0.00373532,0.003543986,0.005913735
42,0.00146483,0.000911658,0.000864645,0.001466262
43,0.00901311,0.00582492,0.005545959,0.009067706
44,0.008805881,0.005720272,0.005446303,0.008857985
45,0.011753101,0.007605893,0.007243899,0.011846165
46,0.010872422,0.007083833,0.006747561,0.010951998
47,0.00440886,0.002771339,0.002637641,0.00442187
48,0.000196821,9.74E-05,8.83E-05,0.000196847
49,0.015138945,0.009854411,0.009393817,0.015293824
50,0.001184666,0.000664411,0.000631167,0.001185603
51,0.004133242,0.002579889,0.002459823,0.004144673
52,0.002151331,0.001285431,0.001223041,0.002154422
53,0.014852036,0.009710868,0.009257692,0.015001062
54,0.014962696,0.009788345,0.009333144,0.015113966
55,0.014804727,0.009676861,0.00922535,0.014952798
56,0.003968423,0.002522831,0.002406378,0.00397896
57,0.00187699,0.00115683,0.001100976,0.001879343
58,0.00358008,0.002273161,0.0021682,0.003588652
59,0.003818985,0.001772742,0.001591623,0.003828741
60,0.005129041,0.002378953,0.00213461,0.00514666
61,0.004007217,0.001877771,0.001689437,0.004017961
62,0.017005091,0.011091485,0.010572681,0.017200837
63,0.000982617,0.000592591,0.00056065,0.000983261
64,6.42E-05,3.51E-05,3.24E-05,6.42E-05
65,0.007286378,0.003589085,0.003268723,0.007322003
66,0.011052227,0.006077778,0.005626402,0.01113447
67,0.00650537,0.003352164,0.003079417,0.006533747
68,0.011238713,0.007317844,0.006974025,0.011323769
69,0.014599643,0.009961834,0.009547805,0.014743615
70,0.007190785,0.004420358,0.004216656,0.007225479
71,0.003833316,0.002317144,0.002201591,0.003843146
72,0.004308962,0.002613792,0.002484065,0.004321387
73,0.004396335,0.002665997,0.002532674,0.00440927
74,0.004606035,0.002900487,0.002761766,0.004620236
75,0.005759348,0.003637369,0.0034611,0.005781575
76,0.005824461,0.003704141,0.003526029,0.005847195
77,0.006260865,0.004245795,0.004077269,0.006287143
78,0.021805534,0.014274297,0.0136006,0.022128803
79,0.006087201,0.00361504,0.003411925,0.006112038
80,0.006469344,0.00382628,0.003608643,0.006497407
81,0.00792545,0.004651918,0.004380252,0.007967622
82,0.011762811,0.007199776,0.006796642,0.011856029
83,0.005546883,0.002817864,0.002576546,0.005567497
84,0.005156451,0.003267243,0.003102518,0.005174258
85,0.006673823,0.004214659,0.00399982,0.006703693
86,0.007281043,0.004609496,0.004375114,0.007316616
87,0.002996005,0.001926875,0.001847277,0.003002005
88,0.008419279,0.005199199,0.004914287,0.008466892
89,2.89E-05,1.82E-05,1.72E-05,2.89E-05
90,3.89E-05,2.45E-05,2.33E-05,3.89E-05
91,0.015769031,0.009715369,0.009193851,0.015937167
92,0.015395983,0.009518189,0.009011144,0.015556204
93,0.016059131,0.009968345,0.009441735,0.016233556
94,0.003841069,0.002277094,0.002157189,0.003850938
95,0.006420096,0.003908754,0.003705968,0.006447732
96,0.005947022,0.0036601,0.003474654,0.005970725
97,0.002478406,0.001530725,0.001449375,0.00248251
98,0.004239752,0.002629902,0.002493537,0.004251781
99,0.009098214,0.00564084,0.005342322,0.009153849
100,0.008546401,0.005256018,0.004971563,0.008595468
101,0.001874002,0.001166958,0.001106153,0.001876347
103,0.004164741,0.002581479,0.002444852,0.004176347
104,0.005188184,0.003245073,0.003077349,0.005206212
105,0.004818876,0.002987589,0.002829371,0.004834424
106,0.016989605,0.010576028,0.010018035,0.017184992
108,0.002032163,0.001320016,0.001257265,0.002034921
109,0.002096447,0.000976825,0.000876577,0.002099383
111,0.003104883,0.00146613,0.001319432,0.003111327
141,0.006456979,0.004138614,0.003935308,0.006484934
143,0.018492216,0.012232672,0.011680497,0.018724009
147,0.029818312,0.020467629,0.01963541,0.030427262
148,0.003675229,0.002243041,0.002115041,0.003684264
150,0.004605235,0.002549346,0.002372417,0.004619432
151,0.004823229,0.002665657,0.002480807,0.004838805
154,0.006157039,0.00343518,0.0031994,0.006182451
155,0.002201468,0.001427068,0.001362496,0.002204705
156,0.006502223,0.004017609,0.003817839,0.006530573
157,0.004460899,0.002980905,0.002854079,0.004474218
158,0.002606478,0.001697076,0.001623161,0.002611018
159,0.010155764,0.006797277,0.006508102,0.010225151
160,0.002856992,0.001759678,0.001668958,0.002862447
161,0.014864279,0.009335098,0.00885979,0.015013553
162,0.002519149,0.001411499,0.001345269,0.002523389
163,0.004219337,0.002049905,0.001854027,0.00423125
164,0.002610645,0.001178065,0.001057939,0.0026152
165,0.002437584,0.001123088,0.001009228,0.002441554
166,0.003938385,0.001902302,0.001717306,0.003948762
167,0.000670465,0.000348345,0.000319558,0.000670765
168,0.011122199,0.006121117,0.005672242,0.011205492
169,0.013646776,0.007528118,0.006978015,0.01377246
170,0.003051685,0.001534979,0.001408904,0.00305791
171,0.00011131,5.42E-05,4.91E-05,0.000111318
172,8.03E-05,3.99E-05,3.62E-05,8.03E-05
173,6.14E-05,3.03E-05,2.75E-05,6.14E-05
174,0.001849087,0.000917485,0.000834291,0.00185137
176,0.00263237,0.001429824,0.001319436,0.002637
177,0.009471359,0.005064131,0.004661333,0.009531672
178,0.01019612,0.005200117,0.004744174,0.010266062
179,7.36E-05,3.72E-05,3.39E-05,7.36E-05
180,0.007046023,0.003918915,0.003650251,0.007079329
181,0.000998993,0.000591029,0.000559407,0.000999659
182,0.009393757,0.005547137,0.005216357,0.009453081
183,2.64E-05,1.33E-05,1.20E-05,2.64E-05
184,0.005660842,0.00360636,0.003444931,0.005682314
185,0.003360577,0.002097561,0.002001219,0.003368128
186,0.005446251,0.003477167,0.003321854,0.005466121
187,0.010818975,0.006690578,0.006334101,0.010897767
188,0.006311542,0.003849277,0.003652836,0.006338249
190,0.012695108,0.00716166,0.00667652,0.01280378
191,0.01459221,0.008168284,0.007603285,0.014736033
192,0.014426379,0.008059634,0.007501654,0.014566931